Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
ABM5001,,,,
ABM5002,,,,
ABM5004,,,,
ABM5101,,,,
ABM5102,,,,
ABM5105,,,,
ABM5106,,,,
ABM5107,,,,
AC5001,,,,
AC5002,,,,
AC5004,,,,
AC5007,,,,
AC5009,,,,
AC5010,,,,
AC5011,,,,
AC5012,,,,
AC5014,,,,
AC5015,,,,
ACC1701,0,2,0,-0.948133022
ACC1701X,3,10,0.230769231,-0.501400324
ACC2706,0,2,0,-0.958166808
ACC2707,0,1,0,-0.897456825
ACC2708,0,1,0,-0.903301716
ACC2709,0,1,0,-0.913585544
ACC3701,0,1,0,-0.910731554
ACC3702,,,,
ACC3703,0,1,0,-0.996610105
ACC3704,,,,
ACC3705,,,,
ACC3706,,,,
ACC3707,0,1,0,-0.921698928
ACC4619,,,,
ACC4629,,,,
ACC4711,,,,
ACC4712,,,,
ACC4713,,,,
ACC4751,,,,
ACC4752,,,,
ACC4761A,,,,
ACC4761H,,,,
ACE5401,,,,
ACE5402,,,,
ACE5403,,,,
ACE5404,,,,
ACE5405,,,,
ACE5406,,,,
ACE5407,,,,
ACE5408,,,,
ACE5409,,,,
ACE5410,,,,
ACE5411,,,,
ACE5413,,,,
ACE5480,,,,
AH2101,1,1,0.5,-0.009073734
AH2202,1,0,1,0.981225193
AH2203,,,,
AH2204,,,,
AH3201,,,,
AH3204,,,,
AH3206,,,,
AH3550,0,1,0,-0.99102813
ALS1010,3,4,0.428571429,-0.153452371
AN1101E,0,2,0,-0.906873018
AN2101,0,1,0,-0.99899596
AN2202,,,,
AN2203,1,0,1,0.992342889
AN2204,,,,
AN2205,1,0,1,0.991229653
AN2206,,,,
AN3101,,,,
AN3203,,,,
AN3208,,,,
AN3209,,,,
AR1101,1,1,0.5,-0.098161459
AR1102,,,,
AR1329,,,,
AR2101,,,,
AR2102,,,,
AR2225,,,,
AR2227,,,,
AR2228,,,,
AR2328,,,,
AR2522,,,,
AR2524,,,,
AR3101,,,,
AR3102,,,,
AR3102A,,,,
AR3151,,,,
AR3223,,,,
AR3412,,,,
AR3721,,,,
AR3722,,,,
AR4002,,,,
AR4421,,,,
AR4955,,,,
AR5011,,,,
AR5121,,,,
AR5221,,,,
AR5321,,,,
AR5323,,,,
AR5423,,,,
AR5601,,,,
AR5666,,,,
AR5770,,,,
AR5801,,,,
AR5802,,,,
AR5803,,,,
AR5804,,,,
AR5805,,,,
AR5806,,,,
AR5807,,,,
AR5808,,,,
AR5951A,,,,
AR5951B,,,,
AR5951C,,,,
AR5951D,,,,
AR5951E,,,,
AR5952A,,,,
AR5952B,,,,
AR5952C,,,,
AR5952D,,,,
AR5952E,,,,
AR5952F,,,,
AR5952G,,,,
AR5953A,,,,
AR5953B,,,,
AR5953C,,,,
AR5953D,,,,
AR5955,,,,
AR5955A,,,,
AR5955B,,,,
AR5955C,,,,
AR5955F,,,,
AR5955G,,,,
AR5955H,,,,
AR5956A,,,,
AR5956B,,,,
AR5956C,,,,
AR5956D,,,,
AR5956E,,,,
AR5957H,,,,
AR5957I,,,,
AR5957J,,,,
AR5957K,,,,
AR5957L,,,,
AR5958D,,,,
AR5958E,,,,
AR5958F,,,,
AR5958G,,,,
AR5958H,,,,
AR5958I,,,,
AR5958J,,,,
AR5958K,,,,
AR5958L,,,,
AR5959,,,,
AR5959D,,,,
AR5959E,,,,
AR5959F,,,,
AR5959G,,,,
AR5959H,,,,
AR6770,,,,
ASP1201CH,,,,
ASP1201EN,,,,
ASP1201GE,,,,
ASP1201HY,,,,
ASP1201MS,,,,
AUD5101,,,,
AUD5102,,,,
AUD5103,,,,
AUD5104,,,,
AUD5105,,,,
AUD5106,,,,
AUD5107,,,,
AUD5108,,,,
AUD5109,,,,
AUD5110,,,,
AUD5111,,,,
AUD5112,,,,
AUD5113,,,,
AUD5115,,,,
BAA6001A,,,,
BAA6001B,,,,
BBP6791,,,,
BBP6794,,,,
BDC6112,,,,
BDC6302,,,,
BDC6303,,,,
BHD4001,,,,
BI3001A,,,,
BI3001B,,,,
BI3001C,,,,
BI3002A,,,,
BI3002B,,,,
BI3003,,,,
BI3003A,,,,
BI3003B,,,,
BI3003C,,,,
BI3003D,,,,
BI3704A,,,,
BI3704B,,,,
BI3704C,,,,
BI3704D,,,,
BI3704R,,,,
BI3708A,,,,
BI3708B,,,,
BI3708R,,,,
BI3712A,,,,
BI3712B,,,,
BI3712R,,,,
BIS3001,,,,
BIS3001A,,,,
BIS3751,,,,
BL5102,,,,
BL5198,0,1,0,-0.99866569
BL5199,,,,
BL5201,,,,
BL5202A,,,,
BL5203,,,,
BL5207A,,,,
BL5210,,,,
BL5213,,,,
BL5214,,,,
BL5215,,,,
BL5216,,,,
BL5217,1,0,1,0.999811947
BL5218,,,,
BL5220,,,,
BL5221,,,,
BL5222,,,,
BL5223,,,,
BL5224,,,,
BL5225,,,,
BL5228,,,,
BL5230,,,,
BL5232,,,,
BL5232A,,,,
BL5232C,,,,
BL5233,,,,
BL5235,,,,
BL5236,,,,
BL5237,,,,
BL5238,,,,
BL5239,,,,
BL5240,,,,
BL5299,,,,
BL5301,,,,
BL5302,,,,
BL5311,,,,
BL5312,,,,
BL5313,,,,
BL5322,,,,
BL5323,,,,
BL5324,,,,
BL5331,,,,
BL5601,1,0,1,0.976196289
BL5602,0,1,0,-0.985876918
BL5611,,,,
BL5623,,,,
BL5631,,,,
BL5632,,,,
BL5661,,,,
BL5662,,,,
BL5699,,,,
BLD3002,,,,
BLD3003,,,,
BLD3004,,,,
BMA5001,,,,
BMA5002,,,,
BMA5003,,,,
BMA5008,,,,
BMA5009,,,,
BMA5013,,,,
BMA5016,,,,
BMA5017,,,,
BMA5102,,,,
BMA5104,,,,
BMA5112,,,,
BMA5112A,,,,
BMA5118,,,,
BMA5118A,,,,
BMA5128,,,,
BMA5129,,,,
BMA5134,,,,
BMA5134A,,,,
BMA5136,,,,
BMA5137,,,,
BMA5138,,,,
BMA5236,,,,
BMA5271,,,,
BMA5275,,,,
BMA5277,,,,
BMA5302,,,,
BMA5302A,,,,
BMA5303,,,,
BMA5309,,,,
BMA5313,,,,
BMA5313A,,,,
BMA5313C,,,,
BMA5313E,,,,
BMA5314,,,,
BMA5334,,,,
BMA5335,,,,
BMA5337,,,,
BMA5337A,,,,
BMA5338,,,,
BMA5404,,,,
BMA5406,,,,
BMA5411,,,,
BMA5424,,,,
BMA5428,,,,
BMA5430,,,,
BMA5431,,,,
BMA5432,,,,
BMA5432A,,,,
