Module Code,Workload
ABM5001,10
ABM5002,4
ABM5004,20
ABM5101,9
ABM5102,9
ABM5105,10
ABM5106,10
ABM5107,9
AC5001,10
AC5002,10
AC5004,10
AC5007,10
AC5009,20
AC5010,10
AC5011,10
AC5012,10
AC5014,10
AC5015,10
ACC1701,10
ACC1701X,10
ACC2706,10
ACC2707,10
ACC2708,10
ACC2709,10
ACC3701,12
ACC3702,12
ACC3703,12
ACC3704,12
ACC3705,12
ACC3706,10
ACC3707,10
ACC4619,10
ACC4629,5
ACC4711,12
ACC4712,10
ACC4713,10
ACC4751,12
ACC4752,10
ACC4761A,10
ACC4761H,10
ACE5401,10
ACE5402,10
ACE5403,40
ACE5404,10
ACE5405,10
ACE5406,10
ACE5407,10
ACE5408,10
ACE5409,10
ACE5410,10
ACE5411,10
ACE5413,9
ACE5480,10
AH2101,10
AH2202,10
AH2203,10
AH2204,10
AH3201,10
AH3204,10
AH3206,10
AH3550,120
ALS1010,10
AN1101E,10
AN2101,10
AN2202,10
AN2203,10
AN2204,10
AN2205,10
AN2206,10
AN3101,10
AN3203,10
AN3208,10
AN3209,10
AR1101,20
AR1102,17
AR1329,10
AR2101,17
AR2102,17
AR2225,0
AR2227,10
AR2228,10
AR2328,10
AR2522,5
AR2524,10
AR3101,17
AR3102,17
AR3102A,30
AR3223,10
AR3412,40
AR3721,10
AR3722,10
AR4002,20
AR4421,80
AR4955,10
AR5011,12
AR5121,10
AR5321,10
AR5323,10
AR5423,10
AR5601,10
AR5666,0
AR5801,20
AR5802,20
AR5803,20
AR5804,20
AR5805,20
AR5806,10
AR5807,60
AR5808,60
AR5951A,10
AR5951B,10
AR5951C,10
AR5951D,10
AR5951E,10
AR5952A,10
AR5952B,10
AR5952C,10
AR5952D,10
AR5952E,10
AR5952F,10
AR5952G,10
AR5953A,10
AR5953B,10
AR5953C,10
AR5953D,10
AR5955,10
AR5955A,10
AR5955B,10
AR5955C,10
AR5955F,10
AR5955G,10
AR5955H,10
AR5956A,10
AR5956B,10
AR5956C,10
AR5956D,10
AR5956E,10
AR5957H,10
AR5957I,10
AR5957J,10
AR5957K,10
AR5957L,10
AR5958D,10
AR5958E,10
AR5958F,10
AR5958G,10
AR5958H,10
AR5958I,10
AR5958J,10
AR5958K,10
AR5958L,10
AR5959,10
AR5959D,10
AR5959E,10
AR5959F,10
AR5959G,10
AR5959H,10
ASP1201EN,0
ASP1201GE,0
ASP1201HY,0
ASP1201MS,0
AUD5101,30
AUD5102,45
AUD5103,30
AUD5104,45
AUD5105,90
AUD5106,90
AUD5107,90
AUD5108,45
AUD5109,35
AUD5110,75
AUD5111,90
AUD5112,100
AUD5113,100
AUD5115,53
BAA6001A,5
BAA6001B,5
BBP6791,5
BBP6794,5
BDC6112,10
BDC6302,10
BDC6303,10
BI3001A,40
BI3001B,40
BI3001C,40
BI3002A,40
BI3002B,40
BI3003,40
BI3003A,40
BI3003B,40
BI3003C,40
BI3003D,40
BI3704A,40
BI3704B,40
BI3704C,40
BI3704D,40
BI3704R,40
BI3708A,40
BI3708B,40
BI3708R,40
BI3712A,40
BI3712B,40
BI3712R,40
BIS3001,0
BIS3001A,0
BIS3751,0
BL5102,10
BL5198,10
BL5199,40
BL5201,10
BL5202A,10
BL5203,10
BL5207A,10
BL5210,10
BL5213,10
BL5214,9
BL5215,10
BL5216,10
BL5217,10
BL5218,10
BL5220,10
BL5221,10
BL5222,10
BL5223,10
BL5224,10
BL5225,10
BL5228,5
BL5230,10
BL5232,9
BL5232A,10
BL5232C,10
BL5233,10
BL5235,10
BL5236,5
BL5237,32
BL5238,10
BL5239,10
BL5240,10
BL5299,40
BL5301,10
BL5302,10
BL5311,10
BL5312,10
BL5313,10
BL5322,10
BL5323,10
BL5324,10
BL5331,10
BL5601,10
BL5602,9
BL5611,10
BL5623,10
BL5631,10
BL5632,10
BL5661,10
BL5662,10
BL5699,40
BLD3002,4
BLD3004,10
BMA5001,10
BMA5002,10
BMA5003,10
BMA5008,10
BMA5009,10
BMA5013,10
BMA5016,10
BMA5017,10
BMA5102,10
BMA5104,10
BMA5112,10
BMA5118,10
BMA5118A,10
BMA5128,10
BMA5129,15
BMA5134,10
BMA5134A,10
BMA5136,10
BMA5137,9
BMA5138,10
BMA5236,23
BMA5271,9
BMA5275,10
BMA5277,9
BMA5302,10
BMA5303,10
BMA5309,10
BMA5313,10
BMA5313A,10
BMA5313C,10
BMA5313E,10
BMA5314,10
BMA5334,10
BMA5335,10
BMA5337,10
BMA5337A,10
BMA5338,10
BMA5404,10
BMA5406,10
BMA5411,10
BMA5424,10
BMA5428,10
BMA5430,10
BMA5431,10
BMA5432,10
BMA5432A,10
BMA5505,10
BMA5506,10
BMA5531,10
BMA5533,10
BMA5538,10
BMA5539,10
BMA5701,10
BMA5801,10
BMA5803,51
BMA5804,65
BMA5805,65
BMA5901,10
BMA5902,10
BMA5903,40
BMA5905,9
BMC5021,62
BMC5022,62
BMC5023,80
BMC5024,77
BMC5026,72
BMC5027,84
BMC5029,107
BMC5030,70
BMC5031,80
BMC5034,80
BMC5036,62
BMC5038,112
BMC5125,80
BMC5203,30
BMC5337,62
BMC5411,30
BMC5501,30
BMD5301,10
BMD5302,10
BME5040,92
BME5041,62
BME5042,92
BME5043,92
BME5044,92
BME5045,62
BME5046,62
BME5049,92
BME5050,92
BME5054,92
BME5056B,62
BME5058,10
BME5101,5
BME5102,5
BME5103,5
BME5104,5
BME5105,10
BME5106,10
BME5107,10
BME5201,4
BME5301,5
BME5401,10
BME5402,5
BMF5321,10
BMF5322,5
BMF5323,4
BMF5324,10
BMF5331,10
BMF5332,10
BMF5333,10
BMF5334,10
BMF5342,10
BMF5343,10
BMF5344,10
BMF5346,13
BMF5351,10
BMF5353,10
BMF5354,10
BMF5355,10
BMF5356,10
BMF5357,10
BMF5358,10
BMF5359,10
BMF5360,10
BMF5361,4
BMF5362,10
BMF5391A,5
BMF5391B,10
BMF5391C,5
BMF5393A,10
BMG5101,10
BMG5102,10
BMG5103,10
BMG5104,10
BMG5201,10
BMG5202,10
BMG5203,10
BMG5204,10
BMG5205,10
BMG5206,10
BMG5301,5
BMG5302,15
BMH5101,10
BMH5102,10
BMH5103,10
BMH5104,5
BMH5105,5
BMH5106,5
BMH5107,5
BMH5108,5
BMH5109,10
BMH5110,10
BMH5111,5
BMH5112,10
BMH5113,5
BMH5301,10
BMH5302,10
BMI5101,10
BMI5102,10
BMI5106,10
BMI5107,10
BMI5108,10
BMI5109,10
BMI5110,10
BMI5111,10
BMI5201,10
BMI5206,10
BMI5207,10
BMI5306,10
BMK5100,10
BMK5101,10
BMK5102,10
BMK5103,10
BMK5104,10
BMK5201,16
BMK5202,10
BMK5203,10
BMK5204,10
BMK5206A,10
BMK5207,10
BMK5209,10
BMK5300A,20
BMK5300D,10
BMK6111U,5
BMK6111V,5
BMO6010A,5
